"","ImageName","LatitudeDD","LongitudeDD","DepthInMeters","SurveyID","Locality","Presence","logic","Clip_Aspect1","Clip_Slope1","Clip_Depth1","Clip_Intensity1","lon","lat"
"95","DSC-11201",26.483,-84.7843,454,"NF-1708","Long Mound North",0,TRUE,242.142532348633,19.3324756622314,-448.449523925781,-22.6992359161377,720860.853167737,2931079.80062658
"96","DSC-11203",26.4831,-84.7842,457,"NF-1708","Long Mound North",0,TRUE,232.426025390625,35.6702613830566,-440.919281005859,-28.0123901367188,720870.632996605,2931091.05280173
"97","DSC-11204",26.4832,-84.7841,458,"NF-1708","Long Mound North",0,TRUE,238.753875732422,30.1321048736572,-424.33251953125,-35,720880.412807919,2931102.3049857
"98","DSC-11205",26.4832,-84.7841,458,"NF-1708","Long Mound North",0,TRUE,238.753875732422,30.1321048736572,-424.33251953125,-35,720880.412807919,2931102.3049857
"99","DSC-11206",26.4831,-84.7839,458,"NF-1708","Long Mound North",0,TRUE,226.334823608398,12.9155521392822,-420.694488525391,-28.8328094482422,720900.545999257,2931091.56896511
"100","DSC-11207",26.4831,-84.7839,458,"NF-1708","Long Mound North",0,TRUE,226.334823608398,12.9155521392822,-420.694488525391,-28.8328094482422,720900.545999257,2931091.56896511
"101","DSC-11208",26.4831,-84.7838,459,"NF-1708","Long Mound North",0,TRUE,203.870254516602,10.2566032409668,-421.059722900391,-27.5168743133545,720910.517000958,2931091.74103512
"102","DSC-11209",26.4836,-84.7847,453,"NF-1708","Long Mound North",0,TRUE,261.584899902344,23.8062705993652,-446.153778076172,-23.541389465332,720819.822307155,2931145.59335919
"103","DSC-11210",26.4831,-84.7838,459,"NF-1708","Long Mound North",0,TRUE,203.870254516602,10.2566032409668,-421.059722900391,-27.5168743133545,720910.517000958,2931091.74103512
"104","DSC-11211",26.4831,-84.7838,460,"NF-1708","Long Mound North",0,TRUE,203.870254516602,10.2566032409668,-421.059722900391,-27.5168743133545,720910.517000958,2931091.74103512
"105","DSC-11212",26.4831,-84.7838,460,"NF-1708","Long Mound North",0,TRUE,203.870254516602,10.2566032409668,-421.059722900391,-27.5168743133545,720910.517000958,2931091.74103512
"106","DSC-11213",26.4831,-84.7839,460,"NF-1708","Long Mound North",0,TRUE,226.334823608398,12.9155521392822,-420.694488525391,-28.8328094482422,720900.545999257,2931091.56896511
"107","DSC-11214",26.4831,-84.7838,460,"NF-1708","Long Mound North",0,TRUE,203.870254516602,10.2566032409668,-421.059722900391,-27.5168743133545,720910.517000958,2931091.74103512
"108","DSC-11215",26.4831,-84.7839,460,"NF-1708","Long Mound North",0,TRUE,226.334823608398,12.9155521392822,-420.694488525391,-28.8328094482422,720900.545999257,2931091.56896511
"109","DSC-11216",26.483,-84.7838,459,"NF-1708","Long Mound North",0,TRUE,221.536575317383,9.94576930999756,-421.834808349609,-26.6861324310303,720910.708215381,2931080.66089661
"110","DSC-11217",26.483,-84.7838,459,"NF-1708","Long Mound North",0,TRUE,221.536575317383,9.94576930999756,-421.834808349609,-26.6861324310303,720910.708215381,2931080.66089661
"111","DSC-11218",26.4831,-84.7838,460,"NF-1708","Long Mound North",0,TRUE,203.870254516602,10.2566032409668,-421.059722900391,-27.5168743133545,720910.517000958,2931091.74103512
"112","DSC-11219",26.4829,-84.7838,463,"NF-1708","Long Mound North",0,TRUE,198.085876464844,21.5330009460449,-423.6591796875,-26.4057693481445,720910.899429132,2931069.58075822
"113","DSC-11220",26.4829,-84.7838,463,"NF-1708","Long Mound North",0,TRUE,198.085876464844,21.5330009460449,-423.6591796875,-26.4057693481445,720910.899429132,2931069.58075822
"114","DSC-11222",26.4829,-84.7838,463,"NF-1708","Long Mound North",0,TRUE,198.085876464844,21.5330009460449,-423.6591796875,-26.4057693481445,720910.899429132,2931069.58075822
"115","DSC-11223",26.4829,-84.7838,463,"NF-1708","Long Mound North",0,TRUE,198.085876464844,21.5330009460449,-423.6591796875,-26.4057693481445,720910.899429132,2931069.58075822
"116","DSC-11224",26.4828,-84.7838,460,"NF-1708","Long Mound North",0,TRUE,184.844924926758,29.1804981231689,-440.7763671875,-25.5064029693604,720911.090642211,2931058.50061997
"117","DSC-11225",26.4829,-84.7838,461,"NF-1708","Long Mound North",0,TRUE,198.085876464844,21.5330009460449,-423.6591796875,-26.4057693481445,720910.899429132,2931069.58075822
"118","DSC-11226",26.4828,-84.7838,460,"NF-1708","Long Mound North",0,TRUE,184.844924926758,29.1804981231689,-440.7763671875,-25.5064029693604,720911.090642211,2931058.50061997
